,Artist,Total Views,100M,Avg
497,OMI,"1,853.5",3.0,0.28
498,Florida Georgia Line,"1,852.1",5.0,0.21
499,Canserbero,"1,851.4",4.0,1.0
500,Hozier,"1,840.0",2.0,0.55
501,Lil Tjay,"1,835.7",3.0,0.72
502,Ricardo Montaner,"1,829.6",3.0,0.46
503,Radiohead,"1,828.1",2.0,0.79
504,Cristiano Araújo,"1,826.9",6.0,0.21
505,Galantis,"1,825.8",4.0,0.17
506,Niska,"1,825.0",4.0,0.43
507,Paula Fernandes,"1,822.8",3.0,0.44
508,Jason Aldean,"1,819.9",3.0,0.47
509,Palak Muchhal,"1,811.4",3.0,0.47
510,Chris Jeday,"1,803.9",3.0,0.69
511,Roxette,"1,801.6",3.0,0.52
512,Black M,"1,798.1",6.0,0.15
513,(G)I-DLE,"1,797.7",7.0,1.66
514,IU,"1,792.6",6.0,0.39
515,Arash,"1,790.6",4.0,0.57
516,Via Vallen,"1,787.5",3.0,0.08
517,Hailee Steinfeld,"1,782.2",6.0,0.26
518,Three Days Grace,"1,780.4",4.0,0.42
519,Soulja Boy Tell'em,"1,780.1",2.0,0.2
520,PNL,"1,775.6",6.0,0.34
521,Alok,"1,773.2",2.0,0.64
522,Maria Becerra,"1,766.2",6.0,2.35
523,The Game,"1,764.7",5.0,0.38
524,Abraham Mateo,"1,760.9",3.0,0.41
525,Bryson Tiller,"1,760.7",4.0,0.46
526,Blake Shelton,"1,760.6",3.0,0.33
527,AronChupa,"1,758.0",3.0,0.23
528,Eros Ramazzotti,"1,757.6",4.0,0.63
529,James Blunt,"1,757.1",2.0,0.43
530,Naughty Boy,"1,751.2",2.0,0.21
531,Marcos & Belutti,"1,745.3",4.0,0.26
532,SHINee,"1,735.6",2.0,0.27
533,R.E.M.,"1,734.9",2.0,0.57
534,2 Chainz,"1,728.7",5.0,0.28
535,Vremya i Steklo,"1,721.8",5.0,0.14
536,Lata Mangeshkar,"1,720.7",6.0,0.45
537,İrem Derici,"1,717.3",3.0,0.32
538,Scorpions,"1,715.3",2.0,0.44
539,Raymix,"1,712.5",3.0,0.38
540,ONE OK ROCK,"1,711.7",3.0,0.38
541,Zouhair Bahaoui,"1,705.7",3.0,0.49
542,Raí Saia Rodada,"1,702.9",4.0,0.48
543,Rick Astley,"1,697.5",2.0,0.5
544,My Chemical Romance,"1,689.8",7.0,0.51
545,Rick Ross,"1,687.2",3.0,0.34
546,B.o.B,"1,687.1",2.0,0.3
547,Korn,"1,686.0",3.0,0.49
548,Lil Skies,"1,683.5",4.0,0.18
549,El Komander,"1,679.2",3.0,0.26
550,Naps,"1,671.7",5.0,0.47
551,Nella Kharisma,"1,671.3",5.0,0.14
552,Shaggy,"1,663.3",6.0,0.42
553,Noriel,"1,661.3",3.0,0.4
554,Bruce Springsteen,"1,653.9",3.0,0.63
555,"Earth, Wind & Fire","1,649.2",3.0,0.56
556,Foster The People,"1,645.9",3.0,0.37
557,3 Doors Down,"1,641.7",3.0,0.4
558,Boney M.,"1,637.7",3.0,1.04
559,Getsunova,"1,633.9",5.0,0.18
560,Mary J. Blige,"1,630.1",4.0,0.66
561,Joyner Lucas,"1,620.7",1.0,0.36
562,2CELLOS,"1,619.4",1.0,0.33
563,Destiny's Child,"1,617.9",7.0,0.43
564,Last Child,"1,615.9",4.0,0.71
565,Lauv,"1,610.5",4.0,0.37
566,Robbie Williams,"1,605.3",4.0,0.28
567,Jonas Brothers,"1,597.6",3.0,0.2
568,Lauana Prado,"1,595.8",3.0,0.61
569,Toni Braxton,"1,595.0",3.0,0.58
570,Sofia Reyes,"1,590.3",3.0,0.51
571,Wham!,"1,580.5",2.0,0.31
572,Jeremih,"1,580.0",6.0,0.29
573,J Alvarez,"1,579.4",2.0,0.39
574,Ella Mai,"1,579.3",4.0,0.44
575,Burna Boy,"1,578.5",3.0,1.59
576,Marilyn Manson,"1,576.3",3.0,0.36
577,Audioslave,"1,576.1",3.0,0.49
578,Afrojack,"1,572.9",3.0,0.1
579,Lê Bảo Bình,"1,572.0",4.0,0.38
580,Manuel Medrano,"1,566.9",3.0,0.4
581,The Notorious B.I.G.,"1,560.1",4.0,0.79
582,Israel Kamakawiwo'ole,"1,558.2",2.0,0.3
583,T-Pain,"1,552.8",5.0,0.43
584,The Police,"1,549.7",3.0,0.57
585,JD Pantoja,"1,548.7",4.0,0.32
586,MC WM,"1,542.2",5.0,0.09
587,Fun.,"1,542.2",3.0,0.28
588,Demet Akalın,"1,541.5",2.0,0.17
589,Wolfine,"1,534.0",2.0,0.27
590,Israel & Rodolffo,"1,527.8",1.0,1.65
591,Andy Rivera,"1,527.0",3.0,0.58
592,MHD,"1,525.0",5.0,0.24
593,Mỹ Tâm,"1,521.7",2.0,0.27
594,Die Antwoord,"1,519.3",5.0,0.21
595,Reynmen,"1,516.0",3.0,0.25
596,Elvis Presley,"1,513.6",1.0,0.78
597,Kehlani,"1,512.9",2.0,0.32
598,Santana,"1,490.9",3.0,0.57
599,Ty Dolla $ign,"1,487.9",1.0,0.23
600,No Doubt,"1,486.7",2.0,0.39
601,Renuka Panwar,"1,483.5",1.0,0.31
602,4 Non Blondes,"1,479.9",1.0,0.56
603,Alexandra Stan,"1,476.0",5.0,0.24
604,Kany García,"1,474.9",4.0,0.92
605,Kid Rock,"1,467.8",2.0,0.46
606,Carrie Underwood,"1,460.8",1.0,0.23
607,Toto,"1,456.7",3.0,0.65
608,Mannat Noor,"1,452.8",1.0,0.22
609,Rombai,"1,443.9",4.0,0.2
610,Tom Odell,"1,443.3",2.0,1.09
611,Fernandinho,"1,437.4",2.0,0.82
612,4Minute,"1,428.6",4.0,0.13
613,Abel Pintos,"1,428.1",1.0,0.35
614,SISTAR,"1,425.7",4.0,0.16
615,Buray,"1,423.8",7.0,0.35
616,Thiaguinho,"1,423.4",2.0,0.62
617,R3HAB,"1,422.5",2.0,0.22
618,Grupo Revelação,"1,420.6",2.0,0.54
619,Mano Walter,"1,420.1",3.0,0.14
620,Europe,"1,417.6",2.0,0.37
621,Yo Gotti,"1,414.7",4.0,0.24
622,Bé Bảo An,"1,411.3",4.0,0.38
623,Tainy,"1,410.0",3.0,0.4
624,Alessia Cara,"1,409.4",4.0,0.21
625,Troye Sivan,"1,409.0",2.0,0.2
626,Jenni Rivera,"1,408.3",2.0,0.02
627,Willy William,"1,406.9",2.0,0.32
628,Kids United,"1,406.8",3.0,0.31
629,Carla's Dreams,"1,400.8",0.0,0.36
630,Dwayne Johnson,"1,400.6",1.0,1.17
631,L.กฮ.,"1,397.4",5.0,0.45
632,C. Tangana,"1,396.9",3.0,0.36
633,Sunidhi Chauhan,"1,394.4",3.0,0.22
634,Ñengo Flow,"1,388.8",4.0,0.82
635,Radwimps,"1,386.7",3.0,0.48
636,Damas Gratis,"1,384.5",4.0,0.76
637,G.E.M.,"1,381.6",4.0,0.23
638,Milky Chance,"1,380.1",3.0,0.41
639,The Kid LAROI,"1,379.9",2.0,0.78
640,Banda Carnaval,"1,379.8",1.0,0.25
641,Hande Yener,"1,378.6",3.0,0.18
642,Aqua,"1,377.2",1.0,0.54
643,Kong Huayrai,"1,375.9",4.0,0.43
644,Sherine,"1,375.5",5.0,0.58
645,Hadise,"1,374.1",5.0,0.23
646,Owl City,"1,373.3",2.0,0.22
647,MC G15,"1,372.3",5.0,0.08
648,Kings Of Leon,"1,367.3",2.0,0.3
649,J-Ax,"1,365.4",2.0,0.12
650,Pang Nakarin,"1,365.0",4.0,0.17
651,Akcent (Romania),"1,362.6",1.0,0.22
652,Rudimental,"1,361.9",3.0,0.18
653,OutKast,"1,361.4",3.0,0.38
654,Gigi D'Agostino,"1,360.5",3.0,0.38
655,Melim,"1,359.1",2.0,0.4
656,Preto no Branco,"1,355.4",2.0,0.33
657,Marwa Loud,"1,353.6",5.0,0.47
658,Ryan Castro,"1,352.7",5.0,1.4
659,Fernando & Sorocaba,"1,342.2",1.0,0.14
660,Flume,"1,338.9",3.0,0.23
661,Bonnie Tyler,"1,336.0",3.0,0.47
662,Natiruts,"1,331.5",3.0,0.55
663,Auli'i Cravalho,"1,329.3",2.0,0.62
664,MC Lan,"1,328.9",2.0,0.05
665,Alejandra Guzmán,"1,328.4",3.0,0.23
666,Ylvis,"1,325.5",1.0,0.14
667,Armaan Malik,"1,322.7",3.0,0.35
668,YFN Lucci,"1,320.2",2.0,0.31
669,Sexion D'Assaut,"1,317.4",2.0,0.16
670,Rvssian,"1,315.2",3.0,0.29
671,Pedro Sampaio,"1,310.9",4.0,0.57
672,Sila,"1,304.6",2.0,0.25
673,Taio Cruz,"1,300.9",5.0,0.16
674,The Lumineers,"1,299.5",4.0,0.3
675,Vitor Fernandes,"1,299.4",3.0,0.53
676,Gülşen,"1,296.5",4.0,0.26
677,Baby Rasta y Gringo,"1,295.6",1.0,0.29
678,Mahahing,"1,294.7",4.0,0.13
679,Gwen Stefani,"1,293.3",4.0,0.25
680,Alexis y Fido,"1,291.7",3.0,0.5
681,Billy Joel,"1,287.1",3.0,0.44
682,Emrah Karaduman,"1,286.5",3.0,0.15
683,Duke Dumont,"1,286.3",2.0,0.28
684,L-Gante,"1,281.3",1.0,0.58
685,John Newman,"1,278.3",1.0,0.27
686,Dennis,"1,277.6",2.0,0.15
687,Phil Collins,"1,277.6",2.0,0.37
688,Jhené Aiko,"1,274.9",2.0,0.41
689,El Bebeto,"1,271.4",2.0,0.19
690,Lenny Kravitz,"1,271.4",3.0,0.38
691,IZA,"1,270.3",5.0,0.4
692,Era Istrefi,"1,269.5",1.0,0.54
693,Nego do Borel,"1,269.0",3.0,0.06
694,Young M.A,"1,267.7",2.0,0.17
695,León Larregui,"1,264.3",4.0,0.34
696,SZA,"1,264.0",4.0,4.93
697,Yelawolf,"1,262.1",2.0,0.41
698,Mike WiLL Made-It,"1,261.9",1.0,0.12
699,Thomas Rhett,"1,261.4",2.0,0.17
700,Tiago PZK,"1,261.2",3.0,0.97
701,Sting,"1,260.2",3.0,0.55
702,The Neighbourhood,"1,255.2",1.0,0.55
703,Jads & Jadson,"1,252.2",1.0,0.23
704,Kim Loaiza,"1,252.1",4.0,1.25
705,Sharry Mann,"1,251.1",3.0,0.31
706,João Gomes,"1,247.2",4.0,1.73
707,Thirty Seconds to Mars,"1,247.2",3.0,0.18
708,Ayo & Teo,"1,247.0",2.0,0.09
709,WINNER,"1,244.0",1.0,0.12
710,NerdOut,"1,243.1",1.0,0.21
711,OG-ANIC,"1,241.3",4.0,0.19
712,Keyshia Cole,"1,241.1",5.0,0.32
713,Reykon,"1,236.0",2.0,0.16
714,Train,"1,233.3",4.0,0.2
715,Bruno e Barretto,"1,229.5",2.0,0.26
716,Carlos Baute,"1,229.3",1.0,0.24
717,Shaan,"1,229.3",2.0,0.88
718,Andrés Cepeda,"1,227.4",3.0,0.27
719,Florence + The Machine,"1,226.4",2.0,0.18
720,Limp Bizkit,"1,222.2",5.0,0.38
721,Severina,"1,222.2",1.0,0.21
722,Leona Lewis,"1,221.1",4.0,0.27
723,Diljit Dosanjh,"1,219.1",3.0,0.38
724,Márcia Fellipe,"1,215.6",2.0,0.16
725,Omarion,"1,215.5",1.0,0.16
726,Bastille,"1,215.3",1.0,0.2
727,Brett Young,"1,215.3",2.0,0.38
728,Simple Plan,"1,213.8",4.0,0.24
729,Robin Thicke,"1,209.3",1.0,0.17
730,Austin Mahone,"1,207.8",2.0,0.09
731,Zé Ramalho,"1,204.7",3.0,0.35
732,Nipsey Hussle,"1,199.5",2.0,0.3
733,Jowell & Randy,"1,198.4",1.0,0.28
734,Liam Payne,"1,192.8",3.0,0.13
735,Amenazzy,"1,191.0",1.0,0.53
736,2Pac,"1,183.2",3.0,0.38
737,Mabel Matiz,"1,182.8",2.0,0.43
738,Bushido,"1,182.7",0.0,0.13
739,Nick Jonas,"1,182.0",2.0,0.13
740,Dynoro,"1,180.3",1.0,0.14
741,Victor & Leo,"1,178.9",2.0,0.37
742,Mora,"1,177.6",2.0,2.48
743,Shinedown,"1,175.5",1.0,0.35
744,Baby K,"1,175.4",3.0,0.16
745,George Ezra,"1,175.2",4.0,0.25
746,Dire Straits,"1,175.0",5.0,0.47
747,Zak Chumpae,"1,174.7",3.0,0.04
748,Dhurata Dora,"1,174.0",1.0,0.23
749,Vicentico,"1,167.9",3.0,0.42
750,Sohail Sen,"1,167.0",2.0,0.31
751,Basshunter,"1,166.8",2.0,0.13
752,Otilia,"1,164.4",1.0,0.12
753,Mr. Children,"1,164.3",0.0,0.55
754,Nightwish,"1,159.6",2.0,0.36
755,Jax Jones,"1,156.1",4.0,0.13
756,Benny Blanco,"1,153.8",2.0,0.26
757,Residente,"1,153.1",3.0,0.22
758,Ministério Zoe,"1,150.1",1.0,0.32
759,Sabrina Carpenter,"1,148.8",1.0,0.42
760,Disclosure,"1,145.3",3.0,0.17
761,Tomorrow X Together,"1,145.3",4.0,0.42
762,N Sync,"1,144.5",3.0,0.38
763,Felipe Peláez,"1,141.4",2.0,0.23
764,Miguel Bosé,"1,137.2",2.0,0.34
765,Sade,"1,134.8",3.0,0.46
766,Bonez MC,"1,128.1",3.0,0.28
767,Yellow Claw,"1,127.7",3.0,0.17
768,James Bay,"1,125.5",2.0,0.18
769,Alec Benjamin,"1,125.4",1.0,0.58
770,Lexa,"1,122.5",3.0,0.14
771,Banda Tierra Sagrada,"1,122.1",2.0,0.22
772,Club Dogo,"1,121.9",0.0,0.24
773,Lady Antebellum,"1,121.7",2.0,0.26
774,Kid Cudi,"1,120.8",3.0,0.23
775,The Vamps,"1,117.1",2.0,0.12
776,August Alsina,"1,116.5",2.0,0.18
777,Momoland,"1,113.2",2.0,0.17
778,Survivor,"1,111.9",2.0,0.39
779,Amit Kumar,"1,111.8",2.0,0.24
780,The Verve,"1,107.1",1.0,0.33
781,Léo Magalhães,"1,101.8",1.0,0.34
782,MIKA,"1,100.9",2.0,0.17
783,Charli XCX,"1,100.9",3.0,0.14
784,Yella Beezy,"1,097.7",2.0,0.22
785,DVBBS,"1,094.1",1.0,0.07
786,Sam Hunt,"1,091.5",3.0,0.12
787,Aitana,"1,085.0",4.0,0.63
788,Ludacris,"1,084.2",1.0,0.19
789,Edward Maya,"1,083.3",2.0,0.28
790,Simge,"1,082.3",4.0,0.27
791,Birdy,"1,079.3",4.0,0.2
792,Labrinth,"1,077.9",3.0,0.4
793,The 1975,"1,077.9",0.0,0.4
794,Mero,"1,077.6",2.0,0.32
795,Bhad Bhabie,"1,077.3",2.0,0.1
796,Alkilados,"1,077.3",4.0,0.18
797,The Rolling Stones,"1,076.6",0.0,0.28
798,R. City,"1,076.4",1.0,0.14
799,Ben Fero,"1,073.7",3.0,0.23
800,Bazzi,"1,073.7",4.0,0.19
801,Gloria Groove,"1,072.8",2.0,0.53
802,Weird Al Yankovic,"1,070.8",2.0,0.23
803,Lizzo,"1,069.3",4.0,0.36
804,Keane,"1,068.7",2.0,0.55
805,Dan + Shay,"1,068.3",3.0,0.19
806,Boy Panomprai,"1,068.0",3.0,0.18
807,Anavitória,"1,067.6",3.0,0.24
808,Dillon Francis,"1,066.4",2.0,0.12
809,Bích Phương,"1,062.8",2.0,0.45
810,Hoobastank,"1,059.8",1.0,0.31
811,Wale,"1,058.1",3.0,0.22
812,Gym Class Heroes,"1,056.7",2.0,0.4
813,Sido,"1,056.5",0.0,0.28
814,Alesso,"1,055.4",2.0,0.17
815,Mumford & Sons,"1,054.6",1.0,0.14
816,Sigala,"1,049.6",3.0,0.17
817,Lauren Daigle,"1,048.1",2.0,0.32
818,Kylie Minogue,"1,047.0",1.0,0.41
819,DJ Hamida,"1,046.4",1.0,0.16
820,Miguel,"1,046.4",4.0,0.42
821,Bigflo & Oli,"1,046.0",1.0,0.2
822,Spice Girls,"1,045.9",1.0,0.21
823,DMX,"1,045.4",3.0,0.31
824,Aleyna Tilki,"1,045.0",3.0,0.09
825,Mike Bahía,"1,042.0",4.0,0.46
826,Bobby Shmurda,"1,041.9",1.0,0.16
827,Aurora,"1,040.4",1.0,0.9
828,Cher Lloyd,"1,036.1",5.0,0.04
829,Blueface,"1,034.5",2.0,0.24
830,Dev Negi,"1,033.9",2.0,0.23
831,Pipe Bueno,"1,032.8",4.0,0.4
832,Siti Badriah,"1,031.4",1.0,0.09
833,Marama,"1,029.5",2.0,0.16
834,Param Singh,"1,029.0",1.0,0.25
835,Tiziano Ferro,"1,028.4",0.0,0.2
836,Jannine Weigel,"1,028.4",1.0,0.06
837,Oliver Tree,"1,028.0",1.0,2.2
838,Kaaris,"1,027.6",2.0,0.1
839,Eurythmics,"1,027.1",1.0,0.48
840,Rocco Hunt,"1,026.4",3.0,0.5
841,Rich The Kid,"1,023.8",2.0,0.11
842,Glass Animals,"1,023.7",2.0,0.79
843,Bryant Oden,"1,022.9",2.0,0.14
844,Enzo Rabelo,"1,022.5",3.0,0.15
845,John Mayer,"1,019.9",2.0,0.25
846,Lost Frequencies,"1,018.6",3.0,0.15
847,Potato,"1,017.1",1.0,0.14
848,The Strokes,"1,016.5",3.0,0.29
849,ScHoolboy Q,"1,016.4",2.0,0.12
850,Jasmine Sandlas,"1,014.4",2.0,0.2
851,Ghali,"1,014.4",2.0,0.13
852,Darell,"1,014.3",2.0,0.37
853,Min,"1,013.5",5.0,0.17
854,Leslie Grace,"1,008.6",3.0,0.13
855,Alonzo,"1,003.3",2.0,0.1
856,Léo Santana,"1,002.1",1.0,0.38
857,Phan Mạnh Quỳnh,998.9,2.0,0.1
858,Bomba Estéreo,997.6,3.0,0.18
859,The Offspring,995.1,1.0,0.5
860,Ultimo,994.7,0.0,0.33
861,Humberto e Ronaldo,993.4,1.0,0.35
862,Leandro Borges,993.0,1.0,0.44
863,João Neto e Frederico,991.7,2.0,0.06
864,Vegedream,991.3,1.0,0.51
865,Alex Campos,991.2,1.0,0.48
866,Sasa Kovacevic,985.3,0.0,0.12
867,Fedez,984.9,2.0,0.23
868,Trúc Nhân,981.4,3.0,0.95
869,IZ*ONE,979.6,2.0,0.24
870,Café Tacvba,977.5,1.0,0.23
871,DNCE,975.7,3.0,0.16
872,Jack Harlow,969.9,2.0,0.42
873,Gen Hoshino,968.0,1.0,0.17
874,Papa Roach,966.3,2.0,0.22
875,Miranda Lambert,962.7,1.0,0.22
876,Olly Murs,962.0,3.0,0.13
877,Juan Luis Guerra,960.0,1.0,0.44
878,Wonder Girls,958.4,2.0,0.17
879,K Camp,957.9,2.0,0.2
880,Dido,957.2,2.0,0.42
881,Led Zeppelin,954.2,3.0,0.44
882,Jay-Z,953.0,1.0,0.56
883,Alex Sensation,952.2,2.0,0.18
884,Henrique & Diego,946.9,2.0,0.06
885,Sonu Nigam,945.7,2.0,0.48
886,Soobin Hoàng Sơn,942.7,1.0,0.22
887,Of Monsters and Men,940.8,1.0,0.15
888,João Bosco e Vinícius,940.2,2.0,0.23
889,Yash Narvekar,938.1,2.0,0.27
890,Creed,934.9,3.0,0.28
891,Vengaboys,934.8,3.0,0.34
892,Pooh Shiesty,933.1,2.0,0.43
893,Tony Kakkar,929.5,2.0,0.14
894,25hours,929.3,1.0,0.15
895,Monsta X,927.8,1.0,5.27
896,Abu,925.7,1.0,0.23
897,Boyz II Men,925.5,4.0,0.28
898,Axel,922.9,2.0,0.11
899,GFriend,922.0,0.0,0.11
900,Ivete Sangalo,921.2,0.0,0.2
901,Years & Years,917.5,2.0,0.13
902,Rachel Platten,915.2,2.0,0.14
903,RKM & Ken-Y,913.8,2.0,0.17
904,The Wanted,912.4,2.0,0.08
905,Pikotaro,910.4,3.0,0.15
906,John Lennon,908.0,4.0,0.23
907,Bump of Chicken,907.3,1.0,0.25
908,Savage Garden,902.7,3.0,0.32
909,Brad Paisley,902.7,2.0,0.15
910,MC Doni,902.6,3.0,0.15
911,Apink,902.5,0.0,0.09
912,Julieta Venegas,902.4,2.0,0.39
913,Rich Gang,902.1,2.0,0.21
914,Tinie Tempah,900.1,2.0,0.11
915,RASA,900.1,2.0,0.63
916,Tame Impala,894.8,3.0,0.37
917,Why Don't We,892.3,1.0,0.19
918,Busta Rhymes,889.3,1.0,0.25
919,Capital Cities,889.2,2.0,0.26
920,Mahmut Orhan,888.9,3.0,0.19
921,Ana Carolina,885.6,2.0,0.25
922,KSI,885.5,1.0,0.07
923,AnnenMayKantereit,883.8,0.0,0.36
924,Kenny Chesney,883.5,0.0,0.15
925,Keen'V,883.3,1.0,0.22
926,Juicy J,882.6,1.0,0.11
927,Fat Joe,880.9,2.0,0.23
928,Steve Aoki,880.9,1.0,0.06
929,Seether,877.7,1.0,0.25
930,Fly Project,876.9,1.0,0.17
931,Michael Bolton,873.2,3.0,0.29
932,AOA,873.1,0.0,0.09
933,Leo Rojas,873.0,2.0,0.22
934,Big Ass,872.5,2.0,0.18
935,Jamiroquai,869.0,1.0,0.22
936,TLC,866.9,3.0,0.22
937,Jess Glynne,862.4,4.0,0.15
938,Kiesza,862.1,2.0,0.14
939,King,860.7,2.0,4.93
940,Jassi Gill,860.7,1.0,0.12
941,Hamza Namira,858.8,2.0,0.36
942,Delia,858.1,0.0,0.11
943,Tuğçe Kandemir,858.0,3.0,0.21
944,KC Rebell,854.8,0.0,0.07
945,Ja Rule,852.0,3.0,0.28
946,Culture Club,849.8,2.0,0.25
947,Jay Sean,849.5,2.0,0.23
948,Vasco Rossi,846.2,0.0,0.14
949,Marco Mengoni,845.9,2.0,0.18
950,Lilly Wood & The Prick,839.1,1.0,0.17
951,Daughtry,837.7,2.0,0.26
952,CKay,836.7,2.0,0.79
953,Mr Probz,835.2,1.0,0.18
954,gnash,834.7,1.0,0.2
955,deadmau5,834.2,0.0,0.09
956,Vance Joy,833.7,1.0,0.19
957,Altamash Faridi,831.9,1.0,0.2
958,Midian Lima,827.2,2.0,0.24
959,Tinashe,825.6,1.0,0.11
960,Thaeme & Thiago,824.6,0.0,0.05
961,Big Time Rush,824.4,1.0,0.08
962,NAV,823.8,0.0,0.14
963,The Prodigy,823.6,1.0,0.2
964,ChocQuibTown,821.9,1.0,0.1
965,Maite Perroni,821.2,3.0,0.14
966,Lil Xan,821.2,2.0,0.09
967,X Ambassadors,820.8,2.0,0.19
968,Sum 41,820.7,2.0,0.17
969,365 DaBand,819.0,1.0,0.1
970,Tony Dize,818.6,2.0,0.25
971,BNK48,817.6,2.0,0.09
972,PnB Rock,817.0,0.0,0.13
973,O.T. Genasis,816.7,2.0,0.08
974,KYLE,815.0,2.0,0.09
975,Far East Movement,814.9,2.0,0.1
976,J Soul Brothers,813.1,1.0,0.05
977,Hebe Tien,811.7,1.0,0.04
978,The Cure,811.6,1.0,0.26
979,EXID,809.5,1.0,0.08
980,Oras Sattar,807.9,1.0,0.12
981,Faydee,806.3,1.0,0.15
982,Burak Yeter,805.3,1.0,0.19
983,Sekai no Owari,802.9,1.0,0.15
984,Kodaline,800.7,2.0,0.24
985,T-ara,799.1,0.0,0.15
986,La Quinta Estación,797.9,1.0,0.24
987,Mario,797.1,2.0,0.28
988,Loredana Zefi,795.7,0.0,0.09
989,Sophia Grace,794.8,1.0,0.03
990,Il Volo,794.5,1.0,0.17
991,Polina Gagarina,794.0,1.0,0.24
992,T_T,792.7,2.0,0.05
993,Deorro,790.0,2.0,0.1
994,Redfoo,789.7,2.0,0.14
995,Eric Clapton,789.3,2.0,0.27
996,SanLuis,787.5,2.0,0.19
997,Atitude 67,786.3,1.0,0.15
998,Rusherking,786.1,2.0,1.14
999,SCH,785.3,1.0,0.11
1000,Måneskin,785.0,2.0,0.58
1001,The White Stripes,784.4,1.0,0.3
1002,Weezer,782.4,1.0,0.18
1003,Pia Mia,782.2,1.0,0.1
1004,Queen Naija,780.5,2.0,0.26
1005,Niall Horan,777.3,1.0,0.11
1006,Kalash,777.2,1.0,0.14
1007,Douzi,775.7,0.0,0.17
1008,Kool & The Gang,775.2,4.0,0.23
1009,Breaking Benjamin,774.7,1.0,0.2
1010,M83,774.0,2.0,0.22
1011,Stormzy,772.5,2.0,0.22
1012,JustaTee,770.9,3.0,0.31
1013,Nicky Romero,770.1,1.0,0.03
1014,Spitz,765.6,1.0,0.19
1015,AAA,764.6,2.0,0.07
1016,GTK,763.7,2.0,0.1
1017,Takagi & Ketra,763.5,3.0,0.08
1018,MC Hammer,763.1,1.0,0.18
1019,Pepe Quintana,759.0,3.0,0.15
1020,Cascada,758.7,1.0,0.1
1021,Kungs,758.3,1.0,0.23
1022,Osmani Garcia,758.1,1.0,0.08
1023,Pet Shop Boys,757.5,2.0,0.3
1024,Bullet For My Valentine,756.5,1.0,0.16
1025,Rich Homie Quan,755.2,2.0,0.13
1026,Central Cee,752.3,1.0,1.57
1027,Marcela Gándara,749.7,2.0,0.23
