,Artist,Total Views,100M,Avg
1028,Alessandra Amoroso,749.1,1.0,0.16
1029,Bob Sinclar,746.9,2.0,0.25
1030,Irama,746.0,2.0,0.33
1031,Keri Hilson,743.5,2.0,0.16
1032,Çağatay Akman,742.7,2.0,0.05
1033,Sofia Carson,742.0,3.0,0.24
1034,O Rappa,741.2,1.0,0.19
1035,Paulina Rubio,740.3,1.0,0.14
1036,Tiago Iorc,739.7,2.0,0.14
1037,La Factoría,738.1,1.0,0.22
1038,PARTYNEXTDOOR,737.6,2.0,0.28
1039,Ozan Doğulu,736.4,2.0,0.08
1040,Pawni Pandey,734.1,1.0,0.2
1041,Murat Boz,727.9,2.0,0.13
1042,John Denver,727.1,1.0,0.18
1043,Leonard Cohen,726.7,2.0,0.22
1044,Utada Hikaru,723.9,0.0,0.4
1045,Heart,723.2,2.0,0.32
1046,Thiago Brava,721.0,1.0,0.03
1047,Within Temptation,719.9,1.0,0.2
1048,A Great Big World,719.5,1.0,0.13
1049,KAZKA,716.6,1.0,0.15
1050,JayDaYoungan,716.3,1.0,0.29
1051,Silva Gunbardhi,714.3,1.0,0.13
1052,City Girls,712.3,1.0,0.19
1053,Oriente,706.5,2.0,0.14
1054,Andy & Lucas,703.8,2.0,0.23
1055,Bloodhound Gang,700.2,1.0,0.1
1056,Louis Tomlinson,699.4,1.0,0.07
1057,Ece Seçkin,698.8,3.0,0.06
1058,Prince,696.7,0.0,0.35
1059,Duran Duran,696.4,1.0,0.37
1060,Jovanotti,696.1,0.0,0.11
1061,La Fouine,695.9,0.0,0.12
1062,Jordin Sparks,695.0,1.0,0.21
1063,Extreme,693.3,1.0,0.22
1064,Gabriel Diniz,692.7,2.0,0.09
1065,Pearl Jam,691.8,2.0,0.18
1066,The Fray,691.1,2.0,0.1
1067,Snow Patrol,690.5,1.0,0.12
1068,Modà,690.3,0.0,0.14
1069,Haikaiss,689.8,1.0,0.07
1070,Nico & Vinz,688.8,1.0,0.16
1071,Paty Cantú,687.7,0.0,0.09
1072,Travie McCoy,686.4,1.0,0.12
1073,OrelSan,685.5,1.0,0.16
1074,Marina and the Diamonds,684.7,1.0,0.12
1075,Goo Goo Dolls,683.9,1.0,0.3
1076,MC Rodolfinho,681.3,2.0,0.06
1077,Rise Against,680.5,2.0,0.1
1078,LOONA,680.1,0.0,0.11
1079,Lily Allen,679.1,2.0,0.09
1080,Kyary Pamyu Pamyu,678.2,1.0,0.07
1081,UB40,677.4,1.0,0.19
1082,India Martínez,675.1,2.0,0.33
1083,Nicole Scherzinger,674.4,1.0,0.06
1084,Lilly Goodman,673.9,1.0,0.22
1085,Staind,673.6,2.0,0.2
1086,Blue,672.6,3.0,0.38
1087,Little Big Town,672.1,2.0,0.15
1088,t.A.T.u.,669.8,2.0,0.22
1089,The Chipettes,668.6,1.0,0.04
1090,Trio Parada Dura,667.3,2.0,0.3
1091,Julia Michaels,666.9,1.0,0.08
1092,Bảo Anh,665.7,1.0,0.08
1093,IAmChino,665.0,1.0,0.07
1094,Helene Fischer,664.4,0.0,0.2
1095,Rema,664.1,1.0,1.82
1096,DJ Antoine,662.3,1.0,0.06
1097,The Fugees,661.4,2.0,0.5
1098,M.I.A.,661.2,2.0,0.14
1099,Biel,658.7,1.0,0.02
1100,Monica,658.6,2.0,0.21
1101,Burak King,658.3,2.0,0.1
1102,Mustard,658.0,2.0,0.13
1103,Dawin,657.6,2.0,0.06
1104,Lali,657.3,1.0,0.15
1105,Perfume,656.3,0.0,0.08
1106,Isaias Saad,655.4,1.0,0.65
1107,Sak Noel,654.9,1.0,0.1
1108,Yemi Alade,654.5,1.0,0.13
1109,K.A.R.D,654.2,0.0,0.11
1110,Ace of Base,653.6,3.0,0.28
1111,Maxim Fadeev,653.2,2.0,0.16
1112,Daoko,652.6,1.0,0.14
1113,Adam Lambert,650.7,2.0,0.19
1114,Ace Hood,650.0,1.0,0.08
1115,KeBlack,648.6,2.0,0.06
1116,Cleber e Cauan,648.3,1.0,0.11
1117,Norm Ender,648.0,1.0,0.12
1118,Feduk,645.3,2.0,0.11
1119,Sophana,645.0,3.0,0.16
1120,Reyli Barba,644.3,1.0,0.14
1121,Anna Kendrick,642.8,1.0,0.04
1122,Cro,640.4,0.0,0.05
1123,Madcon,640.0,3.0,0.11
1124,Martin Solveig,639.8,2.0,0.04
1125,Saif Nabeel,636.5,2.0,0.16
1126,SDP,635.2,0.0,0.14
1127,Kevvo,632.8,1.0,0.17
1128,Felix Jaehn,632.1,1.0,0.16
1129,Block B,630.2,0.0,0.05
1130,Shiina Ringo,629.7,0.0,0.17
1131,BABYMETAL,628.6,1.0,0.14
1132,Armada,626.6,2.0,0.16
1133,Magic System,626.5,1.0,0.2
1134,Dierks Bentley,624.3,1.0,0.1
1135,The Black Keys,622.4,1.0,0.12
1136,Sarah Farias,621.5,2.0,0.24
1137,MGMT,621.3,3.0,0.17
1138,Fabio Rovazzi,621.2,3.0,0.04
1139,Smash Mouth,617.4,1.0,0.17
1140,Sakanaction,615.2,1.0,0.12
1141,Mark Forster,614.5,1.0,0.08
1142,Summer Cem,614.4,1.0,0.07
1143,Iyaz,613.3,2.0,0.2
1144,Livres,612.2,1.0,0.18
1145,Bella Poarch,611.9,2.0,0.4
1146,Fabri Fibra,611.5,0.0,0.14
1147,Dean Lewis,611.0,2.0,0.45
1148,Alanis Morissette,610.7,1.0,0.18
1149,AWOLNATION,610.2,1.0,0.11
1150,Tayrone,608.7,1.0,0.6
1151,Amit Mishra,608.6,2.0,0.06
1152,Bizzey,607.4,1.0,0.09
1153,Masked Wolf,604.9,2.0,0.21
1154,RIDSA,604.9,1.0,0.14
1155,Vũ Duy Khánh,603.6,1.0,0.04
1156,Lola Indigo,601.7,1.0,0.53
1157,Stefflon Don,601.4,2.0,0.1
1158,2PM,599.8,0.0,0.07
1159,Beast,599.5,1.0,0.07
1160,R.I.O.,599.3,1.0,0.03
1161,Pentagon,599.2,1.0,0.07
1162,Noah Cyrus,597.4,2.0,0.08
1163,Gradur,597.1,2.0,0.05
1164,Millind Gaba,596.7,1.0,0.13
1165,Sylwia Grzeszczak,596.5,1.0,0.11
1166,ZAZ,596.3,0.0,0.17
1167,BlocBoy JB,595.7,1.0,0.07
1168,Max Jenmana,595.1,2.0,0.07
1169,Kat DeLuna,594.6,2.0,0.08
1170,Louane,591.8,0.0,0.11
1171,Vázquez Sounds,589.9,1.0,0.04
1172,Alexio La Bestia,587.5,2.0,0.24
1173,Sumit Goswami,586.9,1.0,0.08
1174,Blondie,586.7,1.0,0.31
1175,Loubet,584.8,0.0,0.12
1176,BOL4,583.9,1.0,0.15
1177,ZHU,583.8,2.0,0.18
1178,Lil Jon,583.6,2.0,0.14
1179,Netta,583.5,2.0,0.22
1180,The Smashing Pumpkins,583.1,1.0,0.18
1181,Charlie Brown Jr.,580.1,1.0,0.2
1182,Nekfeu,579.3,1.0,0.07
1183,Rascal Flatts,575.7,1.0,0.1
1184,miss A,574.8,1.0,0.06
1185,Khaled,574.5,1.0,0.27
1186,Matchbox Twenty,573.9,1.0,0.18
1187,DeJ Loaf,572.9,2.0,0.13
1188,Cheat Codes,571.4,2.0,0.07
1189,E-Girls,568.2,0.0,0.03
1190,Luther Vandross,565.0,2.0,0.21
1191,Ligabue,564.9,0.0,0.07
1192,Girl's Day,563.4,0.0,0.06
1193,Enya,561.3,1.0,0.22
1194,Zay & Zayion,559.6,1.0,0.03
1195,Mithoon,559.1,1.0,0.21
1196,MC Brinquedo,558.4,1.0,0.04
1197,Emis Killa,558.0,0.0,0.08
1198,The Calling,557.4,1.0,0.13
1199,Bone Thugs-N-Harmony,557.2,2.0,0.13
1200,Hoàng Thuỳ Linh,556.9,1.0,0.58
1201,Ahmed Chawki,556.1,2.0,0.07
1202,Kelly Rowland,554.3,1.0,0.1
1203,D.R.A.M.,553.2,1.0,0.05
1204,Portugal. The Man,553.0,1.0,0.09
1205,Scooter,551.8,0.0,0.09
1206,WALK THE MOON,551.5,1.0,0.08
1207,Empire Of The Sun,551.2,3.0,0.18
1208,George Strait,550.9,1.0,0.23
1209,Ashanti,550.3,1.0,0.17
1210,Aminé,548.3,1.0,0.06
1211,Bow Wow,547.4,2.0,0.11
1212,Rochak Kohli,546.4,1.0,0.01
1213,Sara Bareilles,545.3,2.0,0.08
1214,Y2K,545.2,1.0,0.11
1215,f(x),544.9,1.0,0.04
1216,The All-American Rejects,544.7,2.0,0.09
1217,Kay One,544.6,2.0,0.04
1218,Lary Over,543.4,1.0,0.05
1219,K'Naan,541.5,1.0,0.32
1220,Sevyn Streeter,537.9,1.0,0.11
1221,Malú,537.6,0.0,0.06
1222,Bridgit Mendler,536.7,2.0,0.04
1223,back number,536.6,1.0,0.01
1224,Bob Dylan,535.3,0.0,0.2
1225,Eiffel 65,534.7,2.0,0.09
1226,Colbie Caillat,533.3,1.0,0.07
1227,Erol Evgin,532.3,1.0,0.08
1228,Wanna One,531.2,1.0,0.04
1229,GReeeeN,531.1,0.0,0.1
1230,Heuss L'Enfoiré,531.0,2.0,0.2
1231,Chi Dân,528.3,1.0,0.03
1232,Pollo,527.7,2.0,0.09
1233,Marracash,526.7,0.0,0.28
1234,Pusho,526.6,1.0,0.03
1235,Richard Marx,526.0,1.0,0.21
1236,R-chord,524.5,0.0,0.07
1237,Playboi Carti,524.0,1.0,0.11
1238,Derya Uluğ,521.9,2.0,0.1
1239,Sławomir,521.9,1.0,0.04
1240,UM44K,519.6,2.0,0.06
1241,Coez,519.0,1.0,0.13
1242,Ailee,518.8,1.0,0.09
1243,Kemilly Santos,517.0,1.0,0.12
1244,Sinéad O'Connor,516.3,2.0,0.25
1245,Queens of the Stone Age,515.5,1.0,0.1
1246,Beastie Boys,515.5,1.0,0.11
1247,Jacob Forever,515.3,2.0,0.15
1248,Judas Priest,514.3,0.0,0.19
1249,Playa Limbo,514.1,1.0,0.09
1250,Johnny Cash,513.9,2.0,0.28
1251,Jimi Hendrix,513.6,1.0,0.13
1252,Soundgarden,512.6,1.0,0.14
1253,Annalisa,511.6,0.0,0.26
1254,Simon & Garfunkel,510.0,1.0,0.17
1255,Meat Loaf,508.1,1.0,0.19
1256,Paloma Mami,508.0,2.0,0.16
1257,Jefferson Moraes,506.9,1.0,0.06
1258,Aun Feeble Heart,505.5,1.0,0.03
1259,Emma Marrone,503.2,0.0,0.08
1260,Bonde da Stronda,502.7,1.0,0.06
1261,Starship,499.3,2.0,0.33
1262,K. Michelle,499.0,0.0,0.06
1263,Munhoz & Mariano,498.6,1.0,0.03
1264,Lilit Hovhannisyan,498.0,1.0,0.12
1265,Cole Swindell,496.6,1.0,0.19
1266,The xx,496.0,0.0,0.06
1267,Zendaya,495.1,1.0,0.05
1268,Hayley Kiyoko,495.0,1.0,0.07
1269,Fleetwood Mac,494.9,0.0,0.36
1270,Elisa,492.4,0.0,0.1
1271,Zaho,492.1,1.0,0.2
1272,OK Go,490.6,0.0,0.04
1273,Boef,490.5,0.0,0.17
1274,Momoiro Clover Z,489.9,0.0,0.08
1275,Lou Bega,489.7,1.0,0.16
1276,Amir,488.8,2.0,0.14
1277,Ayumi Hamasaki,487.4,0.0,0.14
1278,Young Money,487.0,1.0,0.07
1279,Hinder,486.0,1.0,0.12
1280,Theory of a Deadman,485.4,1.0,0.06
1281,Rage Against The Machine,484.7,1.0,0.19
1282,Colonel Reyel,484.4,1.0,0.04
1283,Gülben Ergen,484.3,1.0,0.09
1284,TVXQ,482.9,0.0,0.07
1285,Take That,482.2,0.0,0.14
1286,Las Ketchup,481.9,2.0,0.18
1287,Andreas Gabalier,481.8,1.0,0.07
1288,Gliss,481.7,2.0,0.02
1289,Showtek,480.9,2.0,0.02
1290,KARA,478.7,1.0,0.18
1291,Diddy – Dirty Money,478.3,1.0,0.06
1292,Deep Purple,476.9,2.0,0.18
1293,Karmin,475.1,1.0,0.07
1294,Vanilla Ice,474.2,1.0,0.16
1295,Ton Carfi,473.7,2.0,0.24
1296,Negramaro,472.1,0.0,0.07
1297,Nimo,472.0,0.0,0.07
1298,Mohombi,471.2,2.0,0.08
1299,Retrospect,470.7,1.0,0.04
1300,Luma Elpidio,470.0,2.0,0.12
1301,Big Shaq,469.9,1.0,0.04
1302,Bappi Lahiri,469.9,1.0,0.08
1303,BTOB,468.2,0.0,0.08
1304,Sachet Tandon,466.2,1.0,0.12
1305,Kell Smith,463.3,1.0,0.1
1306,Eva,462.5,1.0,0.07
1307,Cheryl,459.3,0.0,0.03
1308,Blackstreet,458.7,1.0,0.16
1309,Fridaynight to Sunday,458.4,1.0,0.1
1310,Hilary Duff,458.2,0.0,0.03
1311,Belanova,458.0,1.0,0.22
1312,A.R. Rahman,455.7,1.0,0.07
1313,Hương Tràm,455.1,2.0,0.06
1314,Sam Tsui,455.1,0.0,0.02
1315,Akcent,451.1,1.0,0.03
1316,Sigma,451.0,1.0,0.03
1317,Parampara Tandon,450.9,1.0,0.11
1318,Discopraise,450.6,1.0,0.09
1319,MØ,449.7,1.0,0.04
1320,Billy Currington,448.7,1.0,0.09
1321,Grimes,448.6,0.0,0.17
1322,Anaïs Delva,447.9,1.0,0.05
1323,Jaden Smith,447.9,1.0,0.04
1324,MC Guimê,446.9,1.0,0.03
1325,Vald,446.5,1.0,0.04
1326,Grace,446.1,1.0,0.07
1327,Alligatoah,445.7,0.0,0.07
1328,Chance the Rapper,445.4,1.0,0.05
1329,Sugarland,442.3,1.0,0.07
1330,Salmo,439.7,0.0,0.09
1331,Konshens,439.7,1.0,0.06
1332,Ofenbach,439.2,2.0,0.08
1333,Whitesnake,438.0,2.0,0.09
1334,Eve,437.8,1.0,0.16
1335,Simple Minds,434.8,1.0,0.16
1336,Rob Zombie,433.3,1.0,0.13
1337,Lalo Ebratt,431.7,1.0,0.06
1338,Paloma Faith,430.3,1.0,0.37
1339,Güliz Ayla,428.1,2.0,0.05
1340,Francesco Gabbani,427.9,1.0,0.03
1341,Yinglee Srijumpol,427.3,1.0,0.04
1342,Banda Vingadora,426.1,1.0,0.05
1343,Chung Ha,424.7,0.0,0.05
1344,December Avenue,424.0,2.0,0.13
1345,Jojo Maronttinni,423.0,1.0,0.03
1346,Aaliyah,422.4,0.0,0.03
1347,Skylar Grey,421.7,1.0,0.06
1348,K-Ci & JoJo,420.4,1.0,0.11
1349,Jay Rock,419.6,1.0,0.05
1350,Tyrese,418.8,1.0,0.14
1351,Maejor Ali,418.3,1.0,0.03
1352,Anastacia,417.9,0.0,0.13
1353,Elettra Lamborghini,417.1,1.0,0.05
1354,Onze:20,416.1,0.0,0.04
1355,Janet Jackson,416.0,0.0,0.21
1356,Rei,414.9,1.0,0.88
1357,Lil' Kleine,413.2,0.0,0.03
1358,Veysel,412.2,0.0,0.06
1359,Toygar Işıklı,411.2,1.0,0.11
1360,Route 94,410.2,1.0,0.11
1361,Sheck Wes,409.6,1.0,0.1
1362,3OH!3,409.4,1.0,0.03
1363,P-HOT,408.5,1.0,0.05
1364,Aastha Gill,404.9,1.0,0.13
1365,Counting Crows,401.9,1.0,0.13
1366,Max Pezzali,400.7,0.0,0.12
1367,Bella Thorne,400.4,1.0,0.02
1368,Cher,400.0,1.0,0.4
1369,Eypio,399.1,1.0,0.06
1370,Metro Boomin,398.6,0.0,1.0
1371,Tokio Hotel,398.4,0.0,0.05
1372,Vanessa Carlton,397.9,1.0,0.09
1373,Eva Simons,396.7,1.0,0.04
1374,Łobuzy,396.5,2.0,0.11
1375,Mario Bautista,395.8,1.0,0.08
1376,Village People,395.6,1.0,0.07
1377,Example,394.5,1.0,0.04
1378,Thegiornalisti,394.3,1.0,0.07
1379,Massive Attack,394.0,0.0,0.08
1380,Tom Petty,393.4,1.0,0.12
1381,Sarah Connor,391.6,0.0,0.08
1382,Emeli Sandé,391.6,0.0,0.04
1383,Grebz,390.1,1.0,0.04
1384,Lamyai Haithongkham,390.0,1.0,0.02
1385,Infinite,388.1,0.0,0.04
1386,The Band Perry,387.9,1.0,0.05
1387,MC Tati Zaqui,387.8,0.0,0.02
1388,Shivam Pathak,385.5,1.0,0.1
1389,Lifehouse,384.7,1.0,0.06
1390,Azealia Banks,383.3,1.0,0.03
1391,VIXX,382.6,0.0,0.03
1392,Normani,382.0,2.0,0.14
1393,Lupe Fiasco,381.8,1.0,0.04
1394,Nargiz,381.2,1.0,0.05
1395,Natalie Imbruglia,380.2,1.0,0.11
1396,Jazmine Sullivan,378.7,0.0,0.17
1397,Thepparit Imsudsumran,377.4,1.0,0.03
1398,Nek,373.9,1.0,0.1
1399,Vitaa,373.6,1.0,0.07
1400,Kavinsky,371.0,1.0,0.08
1401,American Authors,369.2,1.0,0.05
1402,Dosseh,367.9,0.0,0.04
1403,James Morrison,367.5,1.0,0.04
1404,Namika,367.4,1.0,0.05
1405,La Ley,367.0,1.0,0.08
1406,Gesu no Kiwami Otome,366.1,0.0,0.03
1407,Kelsea Ballerini,365.9,0.0,0.09
1408,Tom and Angela,365.1,1.0,0.01
1409,K.Will,364.5,1.0,0.09
1410,Giorgia,363.7,0.0,0.05
1411,Woodkid,363.1,1.0,0.08
1412,Beck,361.9,1.0,0.08
1413,Bomfunk MC's,361.5,1.0,0.12
1414,Enigma,360.2,1.0,0.11
1415,Gnarls Barkley,358.1,2.0,0.24
1416,Alice Cooper,358.0,1.0,0.08
1417,Guru Josh,357.7,1.0,0.1
1418,Matt Hunter,357.7,1.0,0.02
1419,Alice Merton,357.1,1.0,0.08
1420,Cassie,356.8,1.0,0.1
1421,Seeed,356.5,0.0,0.06
1422,Bad Meets Evil,353.9,2.0,0.06
1423,Marc Seguí,353.6,1.0,0.29
1424,Rebecca Black,353.6,1.0,0.02
1425,Ruth B,353.5,1.0,0.11
1426,London Grammar,352.9,0.0,0.09
1427,Priyanka Chopra,351.9,1.0,0.05
1428,RUN-DMC,350.9,1.0,0.09
1429,Arizona Zervas,350.8,1.0,0.1
1430,Warren G,350.7,1.0,0.1
1431,Mika Singh,350.3,1.0,0.08
1432,Margaret,349.8,0.0,0.04
1433,Twister El Rey,347.7,1.0,0.04
1434,Technotronic,347.1,1.0,0.12
1435,Kate Bush,346.2,1.0,0.26
1436,Gianluca Vacchi,345.6,1.0,0.03
1437,Hurts,343.4,0.0,0.05
1438,Amy Macdonald,340.6,1.0,0.12
1439,Farid Bang,340.5,0.0,0.04
1440,Claudio Capéo,339.4,1.0,0.07
1441,Sage The Gemini,339.0,2.0,0.02
1442,Icona Pop,336.9,1.0,0.05
1443,Apocalyptica,335.4,0.0,0.12
1444,Ketsumeishi,335.0,2.0,0.06
1445,MC João,331.9,1.0,0.03
1446,Superfly,329.9,1.0,0.07
1447,Lena,329.0,0.0,0.03
1448,Tacabro,326.7,2.0,0.05
1449,Yohani,326.4,1.0,0.07
1450,Sukima Switch,325.8,1.0,0.06
1451,Natasha Bedingfield,323.2,1.0,0.06
1452,Janelle Monáe,320.7,0.0,0.04
1453,Wagakki Band,319.8,1.0,0.04
1454,Feder,318.0,2.0,0.06
1455,CLC,317.5,0.0,0.03
1456,Klingande,316.4,1.0,0.02
1457,Ryan Higa,314.0,0.0,0.01
1458,Adel Tawil,312.8,0.0,0.04
1459,Echosmith,312.5,1.0,0.05
1460,Misia,311.8,0.0,0.08
1461,Alien Ant Farm,311.5,1.0,0.11
1462,Wyclef Jean,310.9,2.0,0.09
1463,Cee Lo Green,310.2,1.0,0.03
1464,Ronnie Flex,307.2,0.0,0.02
1465,Evaluna Montaner,306.5,2.0,0.03
1466,Paolo Nutini,306.1,0.0,0.06
1467,Robyn,306.0,0.0,0.04
1468,Claudia Leitte,305.4,0.0,0.03
1469,Elle King,304.5,1.0,0.1
1470,Salt-N-Pepa,304.3,2.0,0.08
1471,Vanessa Hudgens,303.0,1.0,0.01
1472,Lykke Li,302.5,0.0,0.03
1473,Ashley Tisdale,302.5,0.0,0.01
1474,Francesco Renga,302.1,0.0,0.03
1475,Jidenna,301.4,0.0,0.03
1476,MC Gui,301.3,0.0,0.01
1477,Rednex,300.6,1.0,0.13
1478,Belinda,299.8,0.0,0.06
1479,Die Toten Hosen,297.7,0.0,0.08
1480,Pacheco,295.6,1.0,0.02
1481,Ermal Meta,294.6,0.0,0.04
1482,Shontelle,293.7,1.0,0.04
1483,The Veronicas,293.5,1.0,0.05
1484,Israel Novaes,293.3,0.0,0.02
1485,The-Dream,292.2,0.0,0.06
1486,Olexesh,290.8,1.0,0.04
1487,Manu Gavassi,289.6,0.0,0.02
1488,DJ Sem,288.6,1.0,0.02
1489,Gianluca Grignani,287.2,1.0,0.34
1490,Flower,287.1,0.0,0.06
1491,Bausa,286.0,1.0,0.04
1492,Hooverphonic,285.6,1.0,0.1
1493,Trịnh Đình Quang,285.1,1.0,0.02
1494,Kelis,284.3,0.0,0.06
1495,Near,283.2,1.0,0.04
1496,O-Zone,282.7,1.0,0.12
1497,Robert Miles,282.1,1.0,0.1
1498,Chyno Miranda,281.9,1.0,0.02
1499,Afroman,280.8,1.0,0.11
1500,Aloe Blacc,280.0,0.0,0.03
1501,Estelle,279.8,1.0,0.08
1502,Kardinal Offishall,279.5,1.0,0.09
1503,Brandon Beal,279.5,1.0,0.05
1504,BoA,279.3,0.0,0.05
1505,Cleopatra Stratan,278.9,0.0,0.08
1506,Stereoact,277.7,1.0,0.03
1507,Veysel Mutlu,277.4,1.0,0.03
1508,Isyana Sarasvati,276.4,1.0,0.05
1509,Jeff Buckley,273.4,1.0,0.05
1510,Plain White T's,272.2,0.0,0.03
1511,Darude,270.2,1.0,0.06
1512,N.E.R.D,268.5,1.0,0.03
1513,Natalie La Rose,268.4,1.0,0.02
1514,MCs Pikeno e Menor,268.4,1.0,0.0
1515,Midnight Oil,267.3,1.0,0.08
1516,Charly Black,266.2,0.0,0.05
1517,Daniel Powter,266.0,1.0,0.07
1518,Arcade Fire,265.1,0.0,0.05
1519,Hunter Hayes,264.7,0.0,0.04
1520,Anastasija Ražnatović,264.6,0.0,0.03
1521,Faithless,264.1,1.0,0.16
1522,Doğukan Manço,264.1,1.0,0.02
1523,After School,261.1,1.0,0.08
1524,Paweł Domagała,259.8,1.0,0.03
1525,Marteria,258.7,0.0,0.02
1526,Kristína,258.3,0.0,0.02
1527,Anahí,256.1,0.0,0.11
1528,Phillip Phillips,254.8,1.0,0.04
1529,NU'EST,253.4,1.0,0.04
1530,Clementino,253.4,0.0,0.02
1531,Ayse Hatun Önal,252.0,1.0,0.02
1532,David Bowie,251.9,0.0,0.05
1533,Cobra Starship,251.2,1.0,0.02
1534,Spyair,249.3,0.0,0.05
1535,Ella Henderson,248.1,1.0,0.02
1536,Wheatus,246.4,1.0,0.08
1537,Hanson,244.0,1.0,0.05
1538,Dev,243.8,0.0,0.01
1539,B.A.P,242.6,0.0,0.02
1540,Francesca Michielin,241.2,0.0,0.03
1541,Nick Cave & The Bad Seeds,240.2,0.0,0.07
1542,Hoa Vinh,239.2,1.0,0.12
1543,Kiiara,237.8,1.0,0.04
1544,Mylène Farmer,237.6,0.0,0.09
1545,Ayaka,237.2,0.0,0.03
1546,Tay Zonday,236.3,1.0,0.01
1547,Giusy Ferreri,234.7,0.0,0.04
1548,Alle Farben,233.5,0.0,0.02
1549,I LOVE MAKONNEN,233.2,1.0,0.04
1550,Marvin Gaye,233.0,1.0,0.08
1551,Paul McCartney,232.4,0.0,0.1
1552,Max Gazzè,232.3,0.0,0.03
1553,Kwabs,232.0,1.0,0.03
1554,Cesare Cremonini,231.4,0.0,0.06
1555,Ráfaga,230.4,0.0,0.05
1556,Yeah Yeah Yeahs,230.3,0.0,0.08
1557,Ghetto Phénomène,230.1,1.0,0.02
1558,Willow Smith,230.0,1.0,0.1
1559,MC Lon,229.3,0.0,0.02
1560,La Joaqui,229.1,0.0,1.75
1561,Martin Tungevaag,227.6,1.0,0.02
1562,Glasperlenspiel,226.6,1.0,0.03
1563,Daya,222.6,0.0,0.02
1564,HAIM,220.4,0.0,0.03
1565,Max Giesinger,219.7,0.0,0.03
1566,amazarashi,219.6,0.0,0.05
1567,Gestört aber GeiL,219.2,0.0,0.02
1568,Alex Mica,217.4,1.0,0.02
1569,GloRilla,216.5,0.0,0.86
1570,Steps,215.4,0.0,0.11
1571,Juan Karlos,213.4,1.0,0.04
1572,Xantos,212.7,1.0,0.03
1573,David Archuleta,212.6,1.0,0.04
1574,Pardison Fontaine,210.2,1.0,0.04
1575,Soul Asylum,209.5,1.0,0.07
1576,Crayon Pop,208.6,0.0,0.02
1577,Dulce María,207.3,0.0,0.03
1578,Loreen,207.3,1.0,0.03
1579,MC Bin Laden,206.4,1.0,0.01
1580,Valesca Popozuda,206.0,1.0,0.02
1581,Snakehips,205.9,0.0,0.02
1582,Pietro Lombardi,204.1,0.0,0.02
1583,Duffy,203.2,0.0,0.02
1584,Psirico,201.1,1.0,0.04
1585,Alex Clare,200.8,0.0,0.02
1586,The Avener,200.5,0.0,0.04
